building_addr,purpose
서울특별시 중구 남대문로2가 18-1,교육연구시설
서울특별시 중구 남대문로3가 30-1,교육연구시설
서울특별시 중구 남대문로3가 30-10,교육연구시설
서울특별시 중구 남대문로3가 92-1,교육연구시설
서울특별시 중구 남대문로3가 92-1,교육연구시설
서울특별시 중구 남대문로3가 92-2,교육연구시설
서울특별시 중구 남대문로4가 20-27,교육연구시설
서울특별시 중구 남대문로4가 3-11,교육연구시설
서울특별시 중구 남대문로4가 3-12,교육연구시설
서울특별시 중구 남대문로4가 3-12,교육연구시설
서울특별시 중구 남대문로4가 3-3,교육연구시설
서울특별시 중구 남산동1가 20 남산동제일빌딩,교육연구시설
서울특별시 중구 남산동1가 7-1 실습동,교육연구시설
서울특별시 중구 남산동1가 7-5 정화예술대학교 명동캠퍼스 석화관,교육연구시설
서울특별시 중구 남산동1가 8-1 정화예술대학교 명동캠퍼스 본관,교육연구시설
서울특별시 중구 남산동2가 2 서울남산초등학교(본관동(주2)),교육연구시설
서울특별시 중구 남산동2가 2 서울남산초등학교(정보센터동(주3)),교육연구시설
서울특별시 중구 남산동2가 22 명지빌딩,교육연구시설
서울특별시 중구 남산동2가 26-8 학교법인숭의학원,교육연구시설
서울특별시 중구 남산동2가 49-25 152,교육연구시설
서울특별시 중구 남산동2가 9-1,교육연구시설
서울특별시 중구 남창동 205-104,교육연구시설
서울특별시 중구 남창동 205-14 우리은행 서울연수원(우리배움터),교육연구시설
서울특별시 중구 남창동 3-3,교육연구시설
서울특별시 중구 남창동 31-14,교육연구시설
서울특별시 중구 남창동 32-1,교육연구시설
서울특별시 중구 남창동 44-12,교육연구시설
서울특별시 중구 남창동 46-10,교육연구시설
서울특별시 중구 남창동 46-13,교육연구시설
서울특별시 중구 남창동 46-13,교육연구시설
서울특별시 중구 남창동 46-3,교육연구시설
서울특별시 중구 남창동 50-53,교육연구시설
서울특별시 중구 남창동 50-54,교육연구시설
서울특별시 중구 남창동 52-2,교육연구시설
서울특별시 중구 만리동1가 54-7,교육연구시설
서울특별시 중구 만리동1가 54-7 경흥학원,교육연구시설
서울특별시 중구 만리동2가 2 본관동,교육연구시설
서울특별시 중구 만리동2가 2 정보센타동,교육연구시설
서울특별시 중구 만리동2가 2 체육관동,교육연구시설
서울특별시 중구 만리동2가 218,교육연구시설
서울특별시 중구 만리동2가 218-2 1동-시온관/운화관,교육연구시설
"서울특별시 중구 만리동2가 218-2 3동, 5동, 6동, 7동",교육연구시설
서울특별시 중구 만리동2가 218-2 환일중학교(4동화장실),교육연구시설
서울특별시 중구 명동1가 3,교육연구시설
서울특별시 중구 명동2가 1-1 성미관,교육연구시설
서울특별시 중구 명동2가 1-1 성애관,교육연구시설
서울특별시 중구 명동2가 1-20 성지관,교육연구시설
서울특별시 중구 명동2가 24 샛별관,교육연구시설
서울특별시 중구 무교동 21-3,교육연구시설
서울특별시 중구 묵정동 22-8 묵정동 UBF 교육원,교육연구시설
서울특별시 중구 방산동 4-82,교육연구시설
서울특별시 중구 북창동 90,교육연구시설
서울특별시 중구 북창동 93-62,교육연구시설
서울특별시 중구 서소문동 14-2,교육연구시설
서울특별시 중구 서소문동 53,교육연구시설
서울특별시 중구 서소문동 53,교육연구시설
서울특별시 중구 서소문동 53-5,교육연구시설
서울특별시 중구 서소문동 85,교육연구시설
서울특별시 중구 수표동 66-5,교육연구시설
서울특별시 중구 순화동 1-1 기숙사(12동)(기숙사(12동)),교육연구시설
서울특별시 중구 순화동 1-1 서문경비실(서문경비실),교육연구시설
서울특별시 중구 순화동 1-1 이화학원 미래비젼관(이화학원 미래비젼관),교육연구시설
서울특별시 중구 순화동 1-1 이화학원 스크랜튼관(이화학원 스크랜튼관),교육연구시설
서울특별시 중구 순화동 1-1 체육관(체육관),교육연구시설
서울특별시 중구 순화동 2-1,교육연구시설
서울특별시 중구 순화동 6-2,교육연구시설
서울특별시 중구 신당동 102-1,교육연구시설
서울특별시 중구 신당동 144-32,교육연구시설
서울특별시 중구 신당동 161 성동고등학교 중강당 및 실내체육장동,교육연구시설
서울특별시 중구 신당동 161 성동고등학교(복합센터동),교육연구시설
서울특별시 중구 신당동 161 성동고등학교(본관동),교육연구시설
서울특별시 중구 신당동 161-2 서울신당초등학교,교육연구시설
서울특별시 중구 신당동 193-29,교육연구시설
서울특별시 중구 신당동 224-2 수위실,교육연구시설
서울특별시 중구 신당동 224-2 자동차실습장,교육연구시설
서울특별시 중구 신당동 224-2 제1관,교육연구시설
서울특별시 중구 신당동 224-2 제2관,교육연구시설
서울특별시 중구 신당동 224-2 제3관,교육연구시설
서울특별시 중구 신당동 224-2 제4관,교육연구시설
서울특별시 중구 신당동 224-2 제5관,교육연구시설
서울특별시 중구 신당동 224-2 축구부숙소동,교육연구시설
서울특별시 중구 신당동 224-2 화장실동,교육연구시설
서울특별시 중구 신당동 233-93,교육연구시설
서울특별시 중구 신당동 250-3 성동글로벌경영고등학교,교육연구시설
서울특별시 중구 신당동 254-16 서울광희초등학교,교육연구시설
서울특별시 중구 신당동 254-16 서울광희초등학교,교육연구시설
서울특별시 중구 신당동 254-16 서울광희초등학교,교육연구시설
서울특별시 중구 신당동 254-16 서울광희초등학교,교육연구시설
서울특별시 중구 신당동 254-16 서울광희초등학교(강당동(주4)),교육연구시설
서울특별시 중구 신당동 254-16 서울광희초등학교(남관동(주3)),교육연구시설
서울특별시 중구 신당동 254-16 서울광희초등학교(별관동(주5)),교육연구시설
서울특별시 중구 신당동 254-16 서울광희초등학교(본관동(주1)),교육연구시설
서울특별시 중구 신당동 254-16 서울광희초등학교(후관동(주2)),교육연구시설
"서울특별시 중구 신당동 292-60 중구 영유아플라자, 여성회관",교육연구시설
서울특별시 중구 신당동 292-66 흥인초등학교,교육연구시설
서울특별시 중구 신당동 330-2 청구초등학교,교육연구시설
서울특별시 중구 신당동 330-2 청구초등학교,교육연구시설
서울특별시 중구 신당동 330-2 청구초등학교,교육연구시설
서울특별시 중구 신당동 330-2 청구초등학교,교육연구시설
서울특별시 중구 신당동 330-2 청구초등학교(교육문화관(주5)),교육연구시설
서울특별시 중구 신당동 330-2 청구초등학교(남관동(주4)),교육연구시설
서울특별시 중구 신당동 330-2 청구초등학교(동산관(주3)),교육연구시설
서울특별시 중구 신당동 330-2 청구초등학교(신관동(주1)),교육연구시설
서울특별시 중구 신당동 330-2 청구초등학교(야구부생활관(주7)),교육연구시설
서울특별시 중구 신당동 330-2 청구초등학교(야구부연습실(주6)),교육연구시설
서울특별시 중구 신당동 330-2 청구초등학교(중앙관(주2)),교육연구시설
서울특별시 중구 신당동 333-579 학교법인서정학원 대경정보산업고등학교,교육연구시설
서울특별시 중구 신당동 333-579 학교법인서정학원 대경정보산업고등학교,교육연구시설
서울특별시 중구 신당동 333-579 학교법인서정학원 대경정보산업고등학교,교육연구시설
서울특별시 중구 신당동 333-579 학교법인서정학원 대경정보산업고등학교,교육연구시설
서울특별시 중구 신당동 333-579 학교법인서정학원 대경중학교,교육연구시설
서울특별시 중구 신당동 333-579 학교법인서정학원 대경중학교,교육연구시설
서울특별시 중구 신당동 333-579 학교법인서정학원 동산초등학교,교육연구시설
서울특별시 중구 신당동 36-227 본관동(주1),교육연구시설
서울특별시 중구 신당동 36-227 전관동(주2),교육연구시설
서울특별시 중구 신당동 366-128 파워보컬빌딩,교육연구시설
서울특별시 중구 신당동 374-10,교육연구시설
서울특별시 중구 신당동 374-15,교육연구시설
서울특별시 중구 신당동 387-3,교육연구시설
서울특별시 중구 신당동 407-4,교육연구시설
서울특별시 중구 신당동 432-1351 장원중학교,교육연구시설
서울특별시 중구 신당동 432-2240,교육연구시설
서울특별시 중구 신당동 432-460 (1동 중학교),교육연구시설
서울특별시 중구 신당동 432-460 (7동고등학교(화승관)),교육연구시설
서울특별시 중구 신당동 432-460 (8동고등학교(체육부실)),교육연구시설
서울특별시 중구 신당동 432-460 3동도서실(3동 도서실),교육연구시설
서울특별시 중구 신당동 432-460 4동관리동(4동 관리동),교육연구시설
서울특별시 중구 신당동 432-460 수위실(수위실),교육연구시설
서울특별시 중구 신당동 432-460 야구연습장(야구연습장),교육연구시설
서울특별시 중구 신당동 432-460 장충고등학교(2동 고등학교),교육연구시설
서울특별시 중구 신당동 52-154 신당6동 어린이집(신당6동 어린이집),교육연구시설
서울특별시 중구 신당동 52-164 중구구립신당도서관,교육연구시설
서울특별시 중구 신당동 52-175,교육연구시설
서울특별시 중구 신당동 67-24 서울실용음악학교,교육연구시설
서울특별시 중구 신당동 840 현대아파트(종아홍익어린이집),교육연구시설
서울특별시 중구 신당동 844 남산타운(유치원),교육연구시설
서울특별시 중구 예장동 5-84,문화및집회시설
서울특별시 중구 예장동 8,교육연구시설
서울특별시 중구 예장동 8,교육연구시설
서울특별시 중구 예장동 8,교육연구시설
서울특별시 중구 예장동 8-155,교육연구시설
서울특별시 중구 예장동 8-19,교육연구시설
서울특별시 중구 예장동 8-3 (가동),교육연구시설
서울특별시 중구 예장동 8-3 (나동),교육연구시설
서울특별시 중구 오장동 44-10,교육연구시설
서울특별시 중구 오장동 69-2,교육연구시설
서울특별시 중구 을지로1가 140-1,교육연구시설
서울특별시 중구 을지로1가 180-2,교육연구시설
서울특별시 중구 을지로1가 95,교육연구시설
서울특별시 중구 을지로2가 195-3,교육연구시설
서울특별시 중구 을지로2가 199-78,교육연구시설
서울특별시 중구 을지로3가 229-6,교육연구시설
서울특별시 중구 을지로3가 240-3 삼보빌딩,교육연구시설
서울특별시 중구 을지로3가 241-1,교육연구시설
서울특별시 중구 을지로3가 296-27,교육연구시설
서울특별시 중구 을지로3가 296-8,교육연구시설
서울특별시 중구 을지로3가 95-12,교육연구시설
서울특별시 중구 을지로4가 304-1,교육연구시설
서울특별시 중구 을지로4가 79,교육연구시설
서울특별시 중구 을지로4가 79,교육연구시설
서울특별시 중구 을지로4가 79,교육연구시설
서울특별시 중구 을지로4가 79,교육연구시설
서울특별시 중구 을지로4가 79,교육연구시설
서울특별시 중구 을지로4가 79,교육연구시설
서울특별시 중구 을지로5가 152,교육연구시설
서울특별시 중구 을지로5가 77-24 예원빌딩,교육연구시설
서울특별시 중구 을지로6가 17-19,교육연구시설
서울특별시 중구 을지로6가 17-29,교육연구시설
서울특별시 중구 을지로6가 17-5,교육연구시설
서울특별시 중구 을지로6가 17-6,교육연구시설
서울특별시 중구 을지로6가 18-58,교육연구시설
서울특별시 중구 인현동1가 101-8,교육연구시설
서울특별시 중구 인현동1가 109-1 정산빌딩,교육연구시설
서울특별시 중구 인현동1가 124-2,교육연구시설
서울특별시 중구 인현동1가 126-1,교육연구시설
서울특별시 중구 인현동1가 59-10,교육연구시설
서울특별시 중구 인현동1가 94-1,교육연구시설
서울특별시 중구 인현동1가 97-2,교육연구시설
서울특별시 중구 인현동1가 97-2,교육연구시설
서울특별시 중구 인현동2가 3 서울덕수중학교,교육연구시설
서울특별시 중구 인현동2가 3 서울덕수중학교,교육연구시설
서울특별시 중구 입정동 262,교육연구시설
서울특별시 중구 장충동1가 102,교육연구시설
서울특별시 중구 장충동1가 33-7,교육연구시설
서울특별시 중구 장충동2가 14-67 별관동,교육연구시설
서울특별시 중구 장충동2가 166,교육연구시설
서울특별시 중구 장충동2가 173-7 서울충무초등학교,교육연구시설
서울특별시 중구 장충동2가 186-28 우리함께빌딩,교육연구시설
