purpose,city,gu,dong,total
주거용,서울특별시,도봉구,도봉동,2195
주거용,서울특별시,도봉구,방학동,3069
주거용,서울특별시,도봉구,쌍문동,3598
주거용,서울특별시,도봉구,창동,3450
주거용,서울특별시,동대문구,답십리동,2221
주거용,서울특별시,동대문구,신설동,255
주거용,서울특별시,동대문구,용두동,1974
주거용,서울특별시,동대문구,이문동,2849
주거용,서울특별시,동대문구,장안동,2452
주거용,서울특별시,동대문구,전농동,2908
주거용,서울특별시,동대문구,제기동,2911
주거용,서울특별시,동대문구,청량리동,1701
주거용,서울특별시,동대문구,회기동,827
주거용,서울특별시,동대문구,휘경동,2223
주거용,서울특별시,동작구,노량진동,2807
주거용,서울특별시,동작구,대방동,1580
주거용,서울특별시,동작구,동작동,106
주거용,서울특별시,동작구,본동,695
주거용,서울특별시,동작구,사당동,5227
주거용,서울특별시,동작구,상도1동,641
주거용,서울특별시,동작구,상도동,6187
주거용,서울특별시,동작구,신대방동,1885
주거용,서울특별시,동작구,흑석동,2117
주거용,서울특별시,마포구,공덕동,1498
주거용,서울특별시,마포구,구수동,66
주거용,서울특별시,마포구,노고산동,551
주거용,서울특별시,마포구,당인동,120
주거용,서울특별시,마포구,대흥동,699
주거용,서울특별시,마포구,도화동,632
주거용,서울특별시,마포구,동교동,384
주거용,서울특별시,마포구,마포동,114
주거용,서울특별시,마포구,망원동,2240
주거용,서울특별시,마포구,상수동,376
주거용,서울특별시,마포구,상암동,563
주거용,서울특별시,마포구,서교동,1308
주거용,서울특별시,마포구,성산동,1975
주거용,서울특별시,마포구,신공덕동,399
주거용,서울특별시,마포구,신수동,741
주거용,서울특별시,마포구,신정동,10
주거용,서울특별시,마포구,아현동,967
주거용,서울특별시,마포구,연남동,1472
주거용,서울특별시,마포구,염리동,730
주거용,서울특별시,마포구,용강동,208
주거용,서울특별시,마포구,중동,264
주거용,서울특별시,마포구,창전동,439
주거용,서울특별시,마포구,토정동,23
주거용,서울특별시,마포구,하중동,12
주거용,서울특별시,마포구,합정동,1191
주거용,서울특별시,마포구,현석동,76
주거용,서울특별시,서대문구,남가좌동,1465
주거용,서울특별시,서대문구,냉천동,101
주거용,서울특별시,서대문구,대신동,157
주거용,서울특별시,서대문구,대현동,214
주거용,서울특별시,서대문구,미근동,80
주거용,서울특별시,서대문구,봉원동,104
주거용,서울특별시,서대문구,북가좌동,2626
주거용,서울특별시,서대문구,북아현동,1848
주거용,서울특별시,서대문구,신촌동,107
주거용,서울특별시,서대문구,연희동,3297
주거용,서울특별시,서대문구,영천동,105
주거용,서울특별시,서대문구,옥천동,177
주거용,서울특별시,서대문구,창천동,863
주거용,서울특별시,서대문구,천연동,260
주거용,서울특별시,서대문구,충정로2가,105
주거용,서울특별시,서대문구,충정로3가,477
주거용,서울특별시,서대문구,합동,31
주거용,서울특별시,서대문구,현저동,109
주거용,서울특별시,서대문구,홍은동,3108
주거용,서울특별시,서대문구,홍제동,2418
주거용,서울특별시,서초구,내곡동,294
주거용,서울특별시,서초구,반포동,1538
주거용,서울특별시,서초구,방배동,4399
주거용,서울특별시,서초구,서초동,1842
주거용,서울특별시,서초구,신원동,233
주거용,서울특별시,서초구,양재동,1520
주거용,서울특별시,서초구,염곡동,155
주거용,서울특별시,서초구,우면동,460
주거용,서울특별시,서초구,원지동,18
주거용,서울특별시,서초구,잠원동,454
주거용,서울특별시,성동구,금호동1가,312
주거용,서울특별시,성동구,금호동2가,370
주거용,서울특별시,성동구,금호동3가,815
주거용,서울특별시,성동구,금호동4가,550
