event_year,event_date,event_time,event_location,event_category,event_name
2019,2-23,18시,잠실실내체육관,공연,Z-POP DREAM LIVE IN SEOUL
2019,2-27,20시,잠실실내체육관,공연,조쉬그로반 내한공연
2019,2-9,"정동하(14시), 비와이 등(19시)",잠실실내체육관,공연,"JTN라이브 콘서트(정동하,비와이 등)"
2019,2-8,20시,잠실실내체육관,공연,JTN라이브콘서트(휘성)
2019,3-23 ~ 3-24,3월 23일(토) 18시 / 24일(일) 17시,잠실실내체육관,공연,태연 콘서트
2019,4-23 ~ 8-11,"화, 수, 목 20시 / 금 15시 30분, 20시 / 토, 일 15시, 18시 (월요일 공연 없음)*5월 6일(월) 15시, 18시*5월 7일(화) 공연 없음",잠실종합운동장,공연,2019 푸에르자부르타 웨이라 인 서울
2019,4-13,https://blog.naver.com/whitesky9618/221463016460 참조,잠실실내체육관,기타,리그오브레전드 챔피언스 코리아 스프링 결정전
2019,4-5,20시,잠실실내체육관,공연,에이셉 라키 내한공연
2019,5-26,"오후 2시, 오후 7시",잠실실내체육관,공연,김재환 팬 미팅
2019,5-4,18시,잠실실내체육관,공연,시우민 팬 미팅
2019,4-23 ~ 8-11,"화, 수, 목 20시 / 금 15시 30분, 20시 / 토, 일 15시, 18시 (월요일 공연 없음)*5월 6일(월) 15시, 18시*5월 7일(화) 공연 없음",잠실종합운동장,공연,2019 푸에르자부르타 웨이라 인 서울
2019,6-29,17시,잠실실내체육관,공연,DAY6 팬미팅
2019,6-7 ~ 6-9,"6월 7일(금) 20시, 8일(토) 18시, 9일(일) 17시",잠실실내체육관,공연,아이즈원 콘서트
2019,4-23 ~ 8-11,"화, 수, 목 20시 / 금 15시 30분, 20시 / 토, 일 15시, 18시 (월요일 공연 없음)*5월 6일(월) 15시, 18시*5월 7일(화) 공연 없음",잠실종합운동장,공연,2019 푸에르자부르타 웨이라 인 서울
2019,7-20 ~ 7-21,7월 20일(토) ~ 21일(일) 12시 30분 ~ 20시 30분,잠실종합운동장,이벤트,MBC 워터밤 서울 2019
2019,7-26 ~ 7-27,"7월 26일(금) 20시, 27일(토) 18시",잠실실내체육관,공연,하성운 콘서트
2019,7-13,9시 ~ 13시,잠실종합운동장,공연,2019 컬러런 페스티벌
2019,7-13 ~ 7-14,"7월 13일(토) 18시, 14일(일) 17시",잠실실내체육관,공연,에이비식스 팬 미팅
2019,4-23 ~ 8-11,"화, 수, 목 20시 / 금 15시 30분, 20시 / 토, 일 15시, 18시 (월요일 공연 없음)*5월 6일(월) 15시, 18시*5월 7일(화) 공연 없음",잠실종합운동장,공연,2019 푸에르자부르타 웨이라 인 서울
2019,8-9 ~ 8-11,"8월 9일(금) 20시, 10일(토) 18시, 11일(일) 17시",잠실실내체육관,공연,DAY6 WORLD TOUR 'GRAVITY' in SEOUL
2019,8-9 ~ 8-11,18시 42분,잠실보조경기장,공연,싸이 흠뻑쇼 SUMMERSWAG 2019 - 서울
2019,4-23 ~ 8-11,"화, 수, 목 20시 / 금 15시 30분, 20시 / 토, 일 15시, 18시 (월요일 공연 없음)*5월 6일(월) 15시, 18시*5월 7일(화) 공연 없음",잠실종합운동장,공연,2019 푸에르자부르타 웨이라 인 서울
2019,9-28 ~ 9-29,"9월 28일(토) 19시, 29일(일) 17시",잠실실내체육관,공연,빅스 콘서트
2019,9-27,19시,잠실실내체육관,공연,MBN 히어로 콘서트
2019,9-7 ~ 9-8,"9월 6일(토) 18시, 9월 7일(일) 17시",잠실실내체육관,공연,일루소 콘서트
2019,10-26 ~ 10-29,"10월 26일(토)~27일(일), 29일(화) 오후 6시 30분",올림픽주경기장,공연,방탄소년단 콘서트
2019,11-30 ~ 12-1,"11월 30일(토) 오후 2시,6시 / 12월 1일(일) 오후 5시",잠실실내체육관,공연,미스트롯 콘서트
2019,12-24 ~ 12-25,"12월 24일(화) 20시, 12월 25일(수) 18시",잠실실내체육관,공연,2019 임창정 크리스마스 콘서트
2019,12-28 ~ 12-29,12월 28일(토) 18시 / 29일(일) 17시,잠실실내체육관,공연,2019 슈퍼밴드〈TOP3〉콘서트 - 서울
2019,12-20 ~ 12-21,12월 20일(금) 19시 30분 / 12월 21일(토) 18시,잠실실내체육관,공연,2019 성시경 <노래> 앵콜 콘서트
2019,12-14 ~ 12-15,12월 14일(토) ~ 15일(일) 각 18시,잠실실내체육관,공연,2019 김재환 단독 콘서트 illusion; 煥想
2019,11-30 ~ 12-1,"11월 30일(토) 오후 2시,6시 / 12월 1일(일) 오후 5시",잠실실내체육관,공연,미스트롯 콘서트
