event_name,event_date,event_time,event_loc
KOVO + 우리카드 + OK저축은행 ,2017.01.03 (화),19:00 ,서울장충체육관 
KOVO + GS칼텍스 + IBK기업은행 ,2017.01.06 (금),17:00 ,서울장충체육관 
KOVO + 우리카드 + 한국전력 ,2017.01.07 (토),14:00 ,서울장충체육관 
KOVO + 우리카드 + 현대캐피탈 ,2017.01.11 (수),19:00 ,서울장충체육관 
KOVO + GS칼텍스 + 흥국생명 ,2017.01.12 (목),17:00 ,서울장충체육관 
KOVO + 우리카드 + 삼성화재 ,2017.01.15 (일),14:27 ,서울장충체육관 
KOVO + 우리카드 + OK저축은행 ,2017.01.26 (목),19:00 ,서울장충체육관 
KOVO + GS칼텍스 + 흥국생명 ,2017.02.01 (수),17:00 ,서울장충체육관 
KOVO + GS칼텍스 + KGC인삼공사 ,2017.02.04 (토),16:00 ,서울장충체육관 
KOVO + 우리카드 + 한국전력 ,2017.02.10 (금),19:00 ,서울장충체육관 
KOVO + 우리카드 + 대한항공 ,2017.02.16 (목),19:00 ,서울장충체육관 
KOVO + GS칼텍스 + IBK기업은행 ,2017.02.17 (금),17:00 ,서울장충체육관 
KOVO + GS칼텍스 + 흥국생명 ,2017.02.28 (화),17:00 ,서울장충체육관 
KOVO + 우리카드 + 삼성화재 ,2017.03.02 (목),19:00 ,서울장충체육관 
KOVO + 우리카드 + 현대캐피탈 ,2017.03.04 (토),14:00 ,서울장충체육관 
KOVO + GS칼텍스 + 한국도로공사 ,2017.03.05 (일),16:00 ,서울장충체육관 
Kleague + FC 서울 + 수원 삼성 ,2017.03.05 (일),15:00 ,서울월드컵경기장 
KOVO + 우리카드 + KB손해보험 ,2017.03.12 (일),14:00 ,서울장충체육관 
Kleague + 서울 이랜드 + 경남 FC ,2017.03.12 (일),15:00 ,잠실올림픽주경기장 
KOVO + GS칼텍스 + 현대건설 ,2017.03.12 (일),17:00 ,서울장충체육관 
Kleague + FC 서울 + 광주 FC ,2017.03.19 (일),16:00 ,서울월드컵경기장 
Kleague + 서울 이랜드 + 안산 그리너스 ,2017.03.26 (일),15:00 ,잠실올림픽주경기장 
KBO + 넥센 + LG ,2017.03.31 (금),19:00 ,서울고척스카이돔 
KBO + 두산 + 한화 ,2017.03.31 (금),19:00 ,서울 잠실 야구장 
KBO + 두산 + 한화 ,2017.04.01 (토),14:00 ,서울 잠실 야구장 
Kleague + 서울 이랜드 + 성남 FC ,2017.04.01 (토),15:00 ,잠실올림픽주경기장 
KBO + 넥센 + LG ,2017.04.01 (토),14:00 ,서울고척스카이돔 
KBO + 넥센 + LG ,2017.04.02 (일),14:00 ,서울고척스카이돔 
KBO + 두산 + 한화 ,2017.04.02 (일),14:00 ,서울 잠실 야구장 
KBO + LG + 삼성 ,2017.04.04 (화),18:30 ,서울 잠실 야구장 
KBO + LG + 삼성 ,2017.04.05 (수),18:30 ,서울 잠실 야구장 
