event_name,event_date,event_time,event_loc
KBO + 두산 +  SSG ,2022.05.18 (수),18:30 ,서울 잠실 야구장 
KBO + 두산 +  SSG ,2022.05.19 (목),18:30 ,서울 잠실 야구장 
KBO + 두산 + 롯데 ,2022.05.20 (금),18:30 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 한화 ,2022.05.20 (금),18:30 ,서울고척스카이돔 
Kleague + FC 서울 + 성남 FC ,2022.05.21 (토),16:30 ,서울월드컵경기장 
KBO + 두산 + 롯데 ,2022.05.21 (토),14:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 한화 ,2022.05.21 (토),17:00 ,서울고척스카이돔 
KBO + 두산 + 롯데 ,2022.05.22 (일),14:00 ,서울 잠실 야구장 
KBO + 키움히어로즈 + 한화 ,2022.05.22 (일),14:00 ,서울고척스카이돔 
KBO + LG + 키움히어로즈 ,2022.05.24 (화),18:30 ,서울 잠실 야구장 
